imagefilename,insta_location,brand,emotionorsense,adtext,keywords,has_top_bar,has_bottom_bar,non_adcontent_undertopbar,non_adcontent_abovebottombar
IMG_4858.PNG,feed,nintendoamerica,fun;game,create your very own cozy paradise from the ground up alongside pokemon friends in,nintendo switch;gaming;pokemon;fun;cute;illustration,TRUE,TRUE,TRUE,FALSE
IMG_4859.PNG,feed,levoit,self-care,levoit core mini-p air purifier are you breathing clean air at home? experience,air;purifier,TRUE,TRUE,TRUE,TRUE
IMG_4860.PNG,feed,teva,adventure,closed-toe confidence unlocked the hurricane XLT3 CT is your go-all-day,shoes;teva;outdoor;athletic;legs,TRUE,TRUE,TRUE,TRUE
IMG_4861.PNG,feed,heusompets,responsibility,is nail trimming a nightmare for your dog? Switch to the silent groom pro for a safe,nail trim;dog;petcare,TRUE,TRUE,FALSE,FALSE
IMG_4862.PNG,feed,hulu,curiosity,missing daughter. Frantic family. conflicting,friends like these;hulu on disney+;portrait;thriller;streaming,TRUE,TRUE,FALSE,FALSE
IMG_4863.PNG,feed,polaroid,creativity,polaroid now gen3. now in pink and teal. Welcome to your new aesthetic.,camera;photography;pink;teal;productimage,TRUE,TRUE,TRUE,FALSE
IMG_4871.PNG,feed,kirrinfinch,confidence,look sharp & feel confident you deserve clothes that fit-not just your body,clothing;formal;gender-affirming;confidence;comfort;queermodel;queer,TRUE,TRUE,FALSE,TRUE
IMG_4872.PNG,feed,riflepaperco,cozy,just arrived: new rifle paper co. x the company store bedding,bedding;pattern;color;companystore;cozy,TRUE,TRUE,TRUE,FALSE
IMG_4873.PNG,story,vegaplantnutrition,strength,"voted most trusted protein powder in canada, shop now",protein powder;nutrition;health;gym;fitness,TRUE,TRUE,FALSE,FALSE
IMG_4874.PNG,story,wilderdog,dog care,"it's indestructible and easy to clean! 32oz stainless steel bowl, shop now",dog food; pet love;review;fivestars;slowfeeder,TRUE,TRUE,FALSE,FALSE
IMG_4875.PNG,story,wearewildfang,style,"tap to shop here, best self guaranteed",clothing;pattern;style;closeup,TRUE,TRUE,FALSE,FALSE
IMG_4876.PNG,reel,originalbagbalm,self-care,new! A limited-edition tin design from,bagbalm;moisturizer;dry skin;pattern,TRUE,TRUE,FALSE,FALSE
IMG_4877.PNG,reel,patternbeauty,self-care,"meet PATTERN beauty's new scent: indigo, our popular styles in a fresh + bright scent, new!",conditioner;cosmetic;graphicillustration,TRUE,TRUE,FALSE,FALSE
IMG_4878.PNG,reel,wearhuha,,"five stars, I will not ever go back to",videoad; woman,TRUE,TRUE,FALSE,FALSE
IMG_4880.PNG,story,wilderdog,dog care,shop now,dog food; pet love;review;fivestars;slowfeeder,TRUE,TRUE,FALSE,FALSE
IMG_4881.PNG,story,warmies_usa,self-care; cozy,"pompompurin warmies! Limited drop, hello kitty x warmies, pudding-sweer & ready to snuggle",stuffed animal;cute;cozy;warm,TRUE,TRUE,FALSE,FALSE
